clip,sampleIndex,timeUtc,latitude,longitude,speed,speedUnits,fixStatus,accelX,accelY,accelZ,accelUnits
20260713052815_000199F.MP4,48,2026-07-13T10:29:03+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,49,2026-07-13T10:29:04+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.096,,g (estimated)
20260713052815_000199F.MP4,50,2026-07-13T10:29:05+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,51,2026-07-13T10:29:06+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,52,2026-07-13T10:29:07+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,53,2026-07-13T10:29:08+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,54,2026-07-13T10:29:09+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,55,2026-07-13T10:29:10+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,56,2026-07-13T10:29:11+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,57,2026-07-13T10:29:12+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,58,2026-07-13T10:29:13+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,59,2026-07-13T10:29:14+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,0,2026-07-13T10:29:15+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.096,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,1,2026-07-13T10:29:16+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,2,2026-07-13T10:29:17+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,3,2026-07-13T10:29:18+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,4,2026-07-13T10:29:19+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,5,2026-07-13T10:29:20+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,6,2026-07-13T10:29:21+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,7,2026-07-13T10:29:22+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,8,2026-07-13T10:29:23+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,9,2026-07-13T10:29:24+00:00,40.8111654,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,10,2026-07-13T10:29:25+00:00,40.8111654,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,11,2026-07-13T10:29:26+00:00,40.8111654,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052915_000200F.MP4,12,2026-07-13T10:29:27+00:00,40.8111654,-96.6894694,0.0,mph,active,-0.048,-0.096,,g (estimated)
20260713052915_000200F.MP4,13,2026-07-13T10:29:28+00:00,40.8111654,-96.6894531,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
