"pointId","timeSec","lap","latitude","longitude","confidencePct","notes","triggers","customTrigger","locationHeld","stopGroup"
215,2130.4,2,40.8138060658529,-96.6940629668534,75,,"begin_stop",,FALSE,27
216,2159.32,2,40.8138060658529,-96.6940629668534,75,,"finish_stop",,TRUE,27
217,2161.66,2,40.8137473097991,-96.6940668225289,75,,"enter_intersection",,FALSE,
218,2166.68,2,40.8133910504897,-96.6940634697676,75,,"exit_intersection",,FALSE,
219,2178.69,2,40.8126577043765,-96.6940728574991,75,,"begin_stop",,FALSE,28
220,2182.18,2,40.8126577043765,-96.6940728574991,75,,"finish_stop",,TRUE,28
221,2184.52,2,40.8125983266099,-96.6940701752901,75,,"enter_intersection",,FALSE,
222,2187.76,2,40.8123684218163,-96.6940782219172,75,,"exit_intersection",,FALSE,
223,2205.03,2,40.8103647413384,-96.6940849274397,75,,"enter_intersection",,FALSE,
224,2206.92,2,40.8101256991633,-96.694085597992,75,,"exit_intersection",,FALSE,
225,2219.65,2,40.8092908118476,-96.6940668225289,75,,"enter_intersection",,FALSE,
226,2224.55,2,40.8091834808009,-96.6937613859773,75,,"exit_intersection",,FALSE,
227,2238.79,2,40.8091794274057,-96.6917061433196,55,,"blinker_on",,FALSE,
228,2239.93,2,40.8091809494932,-96.6915706917644,60,,"lane_change_begin",,FALSE,
229,2242.91,2,40.8092119042754,-96.6911824420095,60,,"lane_change_finish",,FALSE,
230,2250.52,2,40.809209099562,-96.6908106207848,75,,"begin_stop",,FALSE,29
231,2259.4,2,40.809209099562,-96.6908106207848,75,,"finish_stop",,TRUE,29
232,2262.13,2,40.8092177273007,-96.6907415539026,75,,"enter_intersection",,FALSE,
233,2263.47,2,40.8092347429704,-96.6906614229083,75,,"exit_intersection",,FALSE,
234,2279.26,2,40.8100262237381,-96.6906161606312,75,,"begin_stop",,FALSE,30
235,2318.71,2,40.8100262237381,-96.6906161606312,75,,"finish_stop",,TRUE,30
236,2320.22,2,40.810086110818,-96.6906175017357,75,,"enter_intersection",,FALSE,
237,2322.73,2,40.8102855690379,-96.6906171664596,70,,"exit_intersection",,FALSE,
238,2334.33,2,40.8112110481105,-96.6905983909965,65,,"enter_intersection",,FALSE,
239,2336.85,2,40.8112574750446,-96.6905169188976,65,,"exit_intersection|turn_begin_nonint",,FALSE,
240,2341.45,2,40.8111331330327,-96.6904337704182,65,,"turn_finish_nonint",,FALSE,
241,2346.15,2,40.8109534727455,-96.6904284060002,60,,"turn_begin_nonint",,FALSE,
242,2353.98,2,40.8108616096665,-96.6900730133057,60,,"turn_begin_nonint|turn_finish_nonint",,FALSE,
243,2362,2,40.8106862860136,-96.6899036988616,70,,"turn_finish_nonint",,FALSE,
244,2371.39,2,40.8102889010145,-96.6899083927274,70,,"turn_begin_nonint",,FALSE,
245,2376.5,2,40.8102150240799,-96.6896418482065,70,,"turn_finish_nonint",,FALSE,
246,2377.88,2,40.8102140083386,-96.6895654052496,70,,"turn_begin_nonint",,FALSE,
247,2381.71,2,40.8102109624907,-96.6895466297865,70,,"begin_stop",,FALSE,31
248,2383.11,2,40.8102109624907,-96.6895466297865,70,,"finish_stop",,TRUE,31
249,2389.08,2,40.8103124691187,-96.689460799098,70,,"turn_finish_nonint",,FALSE,
250,2407.62,3,40.8111615567042,-96.6894011199475,95,"starting area just before final lap","begin_stop",,FALSE,32
251,2591.32,3,40.8111615567042,-96.6894011199475,95,"starting area just before final lap","finish_stop|turn_begin_nonint",,TRUE,32
252,2599.84,3,40.8112851492833,-96.6895503178239,75,"starting area just before final lap","turn_finish_nonint",,FALSE,
253,2605.96,3,40.8112932716419,-96.6898185387254,75,,"enter_intersection",,FALSE,
254,2609.98,3,40.8112947955732,-96.6899164393544,75,,"exit_intersection",,FALSE,
255,2621.45,3,40.8112960402575,-96.6904981434345,75,,"begin_stop",,FALSE,35
256,2624.46,3,40.8112960402575,-96.6904981434345,75,,"finish_stop",,TRUE,35
257,2629.13,3,40.8113056899862,-96.6905511170626,75,,"enter_intersection",,FALSE,
258,2632.91,3,40.8113467994697,-96.6906148195267,75,,"exit_intersection",,FALSE,
259,2650.8,3,40.8123242677309,-96.6906148195267,75,,"begin_stop",,FALSE,36
260,2652.22,3,40.8123242677309,-96.6906148195267,75,,"finish_stop",,TRUE,36
261,2653.4,3,40.8123826333029,-96.6906275600195,75,,"enter_intersection",,FALSE,
262,2657.24,3,40.812511541415,-96.6907335072756,75,,"exit_intersection",,FALSE,
263,2686.82,3,40.8125366834349,-96.6936198994517,70,,"begin_stop",,FALSE,37
264,2696.54,3,40.8125366834349,-96.6936198994517,70,,"finish_stop",,TRUE,37
265,2700.58,3,40.812542001928,-96.6937550157309,70,,"enter_intersection",,FALSE,
266,2704.54,3,40.8125252436419,-96.6941774636507,70,,"exit_intersection",,FALSE,
267,2728.08,3,40.812498342222,-96.6965599358082,80,,"begin_stop",,FALSE,38
268,2766.36,3,40.812498342222,-96.6965599358082,80,,"finish_stop",,TRUE,38
269,2769.01,3,40.8124973280637,-96.6966424137354,75,,"enter_intersection",,FALSE,
270,2771.79,3,40.8124988535155,-96.69688180089,75,,"exit_intersection",,FALSE,
271,2785.21,3,40.8125074796223,-96.6980110108852,75,,"begin_stop",,FALSE,39
272,2804.57,3,40.8125074796223,-96.6980110108852,75,,"finish_stop",,TRUE,39
273,2806.45,3,40.8125085008331,-96.6980901360512,75,,"enter_intersection",,FALSE,
274,2809.25,3,40.8124998661255,-96.6983228176832,75,,"exit_intersection",,FALSE,
275,2823.47,3,40.8125013920933,-96.6993775963784,60,,"begin_stop",,FALSE,40
276,2825.35,3,40.8125013920933,-96.6993775963784,60,,"finish_stop",,TRUE,40
277,2830.01,3,40.8125085025532,-96.6995861381292,75,,"enter_intersection",,FALSE,
278,2831.49,3,40.8124998748984,-96.6997852921486,75,,"exit_intersection",,FALSE,
279,2841.64,3,40.8125102967535,-96.7010462656617,75,,"enter_intersection",,FALSE,
280,2843.22,3,40.8125064596156,-96.701292693615,75,,"enter_intersection",,FALSE,
281,2857.22,3,40.8125115378026,-96.7022797465325,60,,"begin_stop",,FALSE,41
282,2860.68,3,40.8125115378026,-96.7022797465325,60,,"finish_stop",,TRUE,41
283,2865.87,3,40.8125145881894,-96.7024943232536,74,,"enter_intersection",,FALSE,
284,2868.55,3,40.8125069745215,-96.702743768692,75,,"exit_intersection",,FALSE,
285,2881.36,3,40.8125156023474,-96.7039339989424,75,,"enter_intersection",,FALSE,
286,2883.53,3,40.812514067091,-96.7041921615601,75,,"exit_intersection",,FALSE,
287,2892.32,3,40.8125191504379,-96.7053837329149,75,,"enter_intersection",,FALSE,
288,2894.12,3,40.8125130651462,-96.7056251317263,60,,"blinker_on",,FALSE,
289,2894.7,3,40.8125095063902,-96.7056995630264,75,,"exit_intersection",,FALSE,
290,2896.17,3,40.8125140794763,-96.7058262974024,65,,"lane_change_begin",,FALSE,
291,2902.19,3,40.8125448065005,-96.7066299542785,70,,"lane_change_finish",,FALSE,
292,2907.71,3,40.8125508755049,-96.7068408429623,70,,"begin_stop",,FALSE,42
293,2911.23,3,40.8125508755049,-96.7068408429623,70,,"finish_stop",,TRUE,42
294,2913.25,3,40.8125557005363,-96.706885099411,75,,"enter_intersection",,FALSE,
295,2915.51,3,40.8125871557479,-96.706964224577,75,,"exit_intersection",,FALSE,
296,2931.86,3,40.8134478886613,-96.706972271204,75,,"begin_stop",,FALSE,43
