clip,sample_idx,ts_utc,fix,lat_deg,lon_deg,speed_mph,bearing_raw,year2k,month,day,hour,minute,second
REC20230712-035709-149.mp4,50,2026-04-26T06:18:14+00:00,1,40.8790448,-96.7481865,51,69,26,4,26,6,18,14
REC20230712-035709-149.mp4,51,2026-04-26T06:18:15+00:00,1,40.879009,-96.7478748,51,69,26,4,26,6,18,15
REC20230712-035709-149.mp4,52,2026-04-26T06:18:16+00:00,1,40.8789713,-96.7475645,51,69,26,4,26,6,18,16
REC20230712-035709-149.mp4,53,2026-04-26T06:18:17+00:00,1,40.8789318,-96.7472543,51,69,26,4,26,6,18,17
REC20230712-035709-149.mp4,54,2026-04-26T06:18:18+00:00,1,40.8788918,-96.7469443,51,69,26,4,26,6,18,18
REC20230712-035709-149.mp4,55,2026-04-26T06:18:19+00:00,1,40.8788503,-96.7466338,51,70,26,4,26,6,18,19
REC20230712-035709-149.mp4,56,2026-04-26T06:18:20+00:00,1,40.8788072,-96.7463235,51,70,26,4,26,6,18,20
REC20230712-035709-149.mp4,57,2026-04-26T06:18:21+00:00,1,40.8787617,-96.7460128,51,70,26,4,26,6,18,21
REC20230712-035709-149.mp4,58,2026-04-26T06:18:22+00:00,1,40.8787142,-96.7457027,51,71,26,4,26,6,18,22
REC20230712-035709-149.mp4,59,2026-04-26T06:18:23+00:00,1,40.8786637,-96.7453952,51,71,26,4,26,6,18,23
REC20230712-035809-150.mp4,0,2026-04-26T06:18:24+00:00,1,40.8786112,-96.7450902,51,71,26,4,26,6,18,24
REC20230712-035809-150.mp4,1,2026-04-26T06:18:25+00:00,1,40.8785582,-96.7447855,51,72,26,4,26,6,18,25
REC20230712-035809-150.mp4,2,2026-04-26T06:18:26+00:00,1,40.8785027,-96.7444832,51,72,26,4,26,6,18,26
REC20230712-035809-150.mp4,3,2026-04-26T06:18:27+00:00,1,40.8784457,-96.7441817,51,72,26,4,26,6,18,27
REC20230712-035809-150.mp4,4,2026-04-26T06:18:28+00:00,1,40.8783882,-96.743881,50,73,26,4,26,6,18,28
REC20230712-035809-150.mp4,5,2026-04-26T06:18:29+00:00,1,40.8783303,-96.7435802,50,73,26,4,26,6,18,29
REC20230712-035809-150.mp4,6,2026-04-26T06:18:30+00:00,1,40.8782707,-96.7432797,50,73,26,4,26,6,18,30
REC20230712-035809-150.mp4,7,2026-04-26T06:18:31+00:00,1,40.8782078,-96.7429807,50,73,26,4,26,6,18,31
REC20230712-035809-150.mp4,8,2026-04-26T06:18:32+00:00,1,40.878144,-96.7426807,51,73,26,4,26,6,18,32
REC20230712-035809-150.mp4,9,2026-04-26T06:18:33+00:00,1,40.8780805,-96.7423803,50,73,26,4,26,6,18,33
REC20230712-035809-150.mp4,10,2026-04-26T06:18:34+00:00,1,40.8780192,-96.7420788,51,73,26,4,26,6,18,34
REC20230712-035809-150.mp4,11,2026-04-26T06:18:35+00:00,1,40.87796,-96.7417758,51,73,26,4,26,6,18,35
REC20230712-035809-150.mp4,12,2026-04-26T06:18:36+00:00,1,40.8778997,-96.7414748,51,74,26,4,26,6,18,36
REC20230712-035809-150.mp4,13,2026-04-26T06:18:37+00:00,1,40.8778288,-96.7411738,51,76,26,4,26,6,18,37
REC20230712-035809-150.mp4,14,2026-04-26T06:18:38+00:00,1,40.8777538,-96.7408735,52,76,26,4,26,6,18,38
REC20230712-035809-150.mp4,15,2026-04-26T06:18:39+00:00,1,40.8776765,-96.7405718,52,76,26,4,26,6,18,39
REC20230712-035809-150.mp4,16,2026-04-26T06:18:40+00:00,1,40.8775958,-96.7402685,52,76,26,4,26,6,18,40
REC20230712-035809-150.mp4,17,2026-04-26T06:18:41+00:00,1,40.8775135,-96.7399642,52,76,26,4,26,6,18,41
REC20230712-035809-150.mp4,18,2026-04-26T06:18:42+00:00,1,40.8774267,-96.7396602,53,78,26,4,26,6,18,42
REC20230712-035809-150.mp4,19,2026-04-26T06:18:43+00:00,1,40.8773325,-96.7393598,53,79,26,4,26,6,18,43
REC20230712-035809-150.mp4,20,2026-04-26T06:18:44+00:00,1,40.8772332,-96.7390598,53,80,26,4,26,6,18,44
REC20230712-035809-150.mp4,21,2026-04-26T06:18:45+00:00,1,40.8771325,-96.738758,54,79,26,4,26,6,18,45
REC20230712-035809-150.mp4,22,2026-04-26T06:18:46+00:00,1,40.8770352,-96.7384533,54,78,26,4,26,6,18,46
REC20230712-035809-150.mp4,23,2026-04-26T06:18:47+00:00,1,40.8769387,-96.7381507,53,78,26,4,26,6,18,47
REC20230712-035809-150.mp4,24,2026-04-26T06:18:48+00:00,1,40.8768435,-96.7378497,53,78,26,4,26,6,18,48
REC20230712-035809-150.mp4,25,2026-04-26T06:18:49+00:00,1,40.876749,-96.7375513,51,78,26,4,26,6,18,49
REC20230712-035809-150.mp4,26,2026-04-26T06:18:50+00:00,1,40.8766588,-96.7372645,50,78,26,4,26,6,18,50
REC20230712-035809-150.mp4,27,2026-04-26T06:18:51+00:00,1,40.8765733,-96.7369877,47,78,26,4,26,6,18,51
