clip,sample_idx,ts_utc,lat_deg,lon_deg,speed_mph,fix
GRMN0154.MP4,26,2026-04-26T06:15:42+00:00,40.8779884,-96.7852482,41,1
GRMN0154.MP4,27,2026-04-26T06:15:43+00:00,40.8781227,-96.785114,41,1
GRMN0154.MP4,28,2026-04-26T06:15:44+00:00,40.8782517,-96.7849823,40,1
GRMN0154.MP4,29,2026-04-26T06:15:45+00:00,40.878377,-96.7848453,39,1
GRMN0154.MP4,30,2026-04-26T06:15:46+00:00,40.8784856,-96.7847081,38,1
GRMN0154.MP4,31,2026-04-26T06:15:47+00:00,40.8785926,-96.7845566,37,1
GRMN0154.MP4,32,2026-04-26T06:15:48+00:00,40.8786878,-96.784404,37,1
GRMN0154.MP4,33,2026-04-26T06:15:49+00:00,40.8787785,-96.7842376,37,1
GRMN0154.MP4,34,2026-04-26T06:15:50+00:00,40.8788623,-96.7840637,38,1
GRMN0154.MP4,35,2026-04-26T06:15:51+00:00,40.8789438,-96.7838828,39,1
GRMN0154.MP4,36,2026-04-26T06:15:52+00:00,40.8790212,-96.7837042,39,1
GRMN0154.MP4,37,2026-04-26T06:15:53+00:00,40.8791013,-96.7835262,39,1
GRMN0154.MP4,38,2026-04-26T06:15:54+00:00,40.879187,-96.7833521,39,1
GRMN0154.MP4,39,2026-04-26T06:15:55+00:00,40.879278,-96.7831846,38,1
GRMN0154.MP4,40,2026-04-26T06:15:56+00:00,40.8793737,-96.7830291,37,1
GRMN0154.MP4,41,2026-04-26T06:15:57+00:00,40.8794779,-96.7828794,37,1
GRMN0154.MP4,42,2026-04-26T06:15:58+00:00,40.8795832,-96.7827347,37,1
GRMN0154.MP4,43,2026-04-26T06:15:59+00:00,40.8796982,-96.7826058,38,1
GRMN0154.MP4,44,2026-04-26T06:16:00+00:00,40.8798245,-96.7824885,37,1
GRMN0154.MP4,45,2026-04-26T06:16:01+00:00,40.8799525,-96.7823756,37,1
GRMN0154.MP4,46,2026-04-26T06:16:02+00:00,40.8800788,-96.7822682,37,1
GRMN0154.MP4,47,2026-04-26T06:16:03+00:00,40.8802013,-96.7821654,35,1
GRMN0154.MP4,48,2026-04-26T06:16:04+00:00,40.8803087,-96.7820715,33,1
GRMN0154.MP4,49,2026-04-26T06:16:05+00:00,40.8804064,-96.7819795,29,1
GRMN0154.MP4,50,2026-04-26T06:16:06+00:00,40.8804931,-96.7818942,27,1
GRMN0154.MP4,51,2026-04-26T06:16:07+00:00,40.8805743,-96.7818154,25,1
GRMN0154.MP4,52,2026-04-26T06:16:08+00:00,40.8806513,-96.7817388,24,1
GRMN0154.MP4,53,2026-04-26T06:16:09+00:00,40.8807206,-96.7816749,21,1
GRMN0154.MP4,54,2026-04-26T06:16:10+00:00,40.8807775,-96.7816236,17,1
GRMN0154.MP4,55,2026-04-26T06:16:11+00:00,40.8808196,-96.7815837,13,1
GRMN0154.MP4,56,2026-04-26T06:16:12+00:00,40.8808475,-96.7815586,8,1
GRMN0154.MP4,57,2026-04-26T06:16:13+00:00,40.8808581,-96.7815506,1,1
GRMN0154.MP4,58,2026-04-26T06:16:14+00:00,40.8808579,-96.7815508,0,1
GRMN0154.MP4,59,2026-04-26T06:16:15+00:00,40.8808579,-96.7815508,0,1
GRMN0155.MP4,0,2026-04-26T06:16:16+00:00,40.880858,-96.7815506,0,1
GRMN0155.MP4,1,2026-04-26T06:16:17+00:00,40.88087,-96.7815321,3,1
GRMN0155.MP4,2,2026-04-26T06:16:18+00:00,40.8808899,-96.7814927,8,1
GRMN0155.MP4,3,2026-04-26T06:16:19+00:00,40.8808994,-96.7814308,11,1
GRMN0155.MP4,4,2026-04-26T06:16:20+00:00,40.8809088,-96.781355,16,1
GRMN0155.MP4,5,2026-04-26T06:16:21+00:00,40.8808935,-96.7812539,20,1
GRMN0155.MP4,6,2026-04-26T06:16:22+00:00,40.8808605,-96.7811411,24,1
GRMN0155.MP4,7,2026-04-26T06:16:23+00:00,40.8808193,-96.7810086,27,1
GRMN0155.MP4,8,2026-04-26T06:16:24+00:00,40.8807712,-96.7808521,30,1
GRMN0155.MP4,9,2026-04-26T06:16:25+00:00,40.8807185,-96.7806852,33,1
GRMN0155.MP4,10,2026-04-26T06:16:26+00:00,40.8806641,-96.7805024,36,1
GRMN0155.MP4,11,2026-04-26T06:16:27+00:00,40.8806117,-96.7803117,38,1
GRMN0155.MP4,12,2026-04-26T06:16:28+00:00,40.880557,-96.780105,41,1
GRMN0155.MP4,13,2026-04-26T06:16:29+00:00,40.8805014,-96.7798838,43,1
GRMN0155.MP4,14,2026-04-26T06:16:30+00:00,40.8804443,-96.7796577,45,1
GRMN0155.MP4,15,2026-04-26T06:16:31+00:00,40.8803861,-96.7794287,46,1
GRMN0155.MP4,16,2026-04-26T06:16:32+00:00,40.8803282,-96.7791897,47,1
GRMN0155.MP4,17,2026-04-26T06:16:33+00:00,40.8802726,-96.7789379,48,1
GRMN0155.MP4,18,2026-04-26T06:16:34+00:00,40.8802195,-96.7786802,50,1
GRMN0155.MP4,19,2026-04-26T06:16:35+00:00,40.8801655,-96.7784127,51,1
GRMN0155.MP4,20,2026-04-26T06:16:36+00:00,40.8801138,-96.7781431,52,1
GRMN0155.MP4,21,2026-04-26T06:16:37+00:00,40.8800644,-96.7778619,54,1
GRMN0155.MP4,22,2026-04-26T06:16:38+00:00,40.8800186,-96.7775751,55,1
GRMN0155.MP4,23,2026-04-26T06:16:39+00:00,40.8799757,-96.7772823,56,1
GRMN0155.MP4,24,2026-04-26T06:16:40+00:00,40.8799358,-96.7769857,56,1
GRMN0155.MP4,25,2026-04-26T06:16:41+00:00,40.8798979,-96.7766861,57,1
GRMN0155.MP4,26,2026-04-26T06:16:42+00:00,40.8798614,-96.7763909,57,1
GRMN0155.MP4,27,2026-04-26T06:16:43+00:00,40.8798276,-96.7760814,58,1
GRMN0155.MP4,28,2026-04-26T06:16:44+00:00,40.8797987,-96.7757726,59,1
GRMN0155.MP4,29,2026-04-26T06:16:45+00:00,40.8797716,-96.7754538,59,1
GRMN0155.MP4,30,2026-04-26T06:16:46+00:00,40.8797472,-96.7751383,59,1
GRMN0155.MP4,31,2026-04-26T06:16:47+00:00,40.879729,-96.7748187,59,1
GRMN0155.MP4,32,2026-04-26T06:16:48+00:00,40.8797142,-96.7745039,59,1
GRMN0155.MP4,33,2026-04-26T06:16:49+00:00,40.8797002,-96.7741795,59,1
GRMN0155.MP4,34,2026-04-26T06:16:50+00:00,40.8796878,-96.7738648,59,1
