clip,sample_idx,ts_utc,active,lat_hem,lon_hem,lat_deg,lon_deg,hour,minute,second,year,month,day
20260426000323_000142F.MP4,0,2026-04-26T06:03:24+00:00,A,N,W,40.8414185,-96.7404785,6,3,24,26,4,26
20260426000323_000142F.MP4,1,2026-04-26T06:03:25+00:00,A,N,W,40.8414225,-96.7404785,6,3,25,26,4,26
20260426000323_000142F.MP4,2,2026-04-26T06:03:26+00:00,A,N,W,40.8414225,-96.7404785,6,3,26,26,4,26
20260426000323_000142F.MP4,3,2026-04-26T06:03:27+00:00,A,N,W,40.8414185,-96.7404785,6,3,27,26,4,26
20260426000323_000142F.MP4,4,2026-04-26T06:03:28+00:00,A,N,W,40.8414185,-96.7404785,6,3,28,26,4,26
20260426000323_000142F.MP4,5,2026-04-26T06:03:29+00:00,A,N,W,40.8414185,-96.7404785,6,3,29,26,4,26
20260426000323_000142F.MP4,6,2026-04-26T06:03:30+00:00,A,N,W,40.8414225,-96.7404785,6,3,30,26,4,26
20260426000323_000142F.MP4,7,2026-04-26T06:03:32+00:00,A,N,W,40.8414185,-96.7404622,6,3,32,26,4,26
20260426000323_000142F.MP4,8,2026-04-26T06:03:33+00:00,A,N,W,40.8414185,-96.7404622,6,3,33,26,4,26
20260426000323_000142F.MP4,9,2026-04-26T06:03:34+00:00,A,N,W,40.8414185,-96.7404622,6,3,34,26,4,26
20260426000323_000142F.MP4,10,2026-04-26T06:03:35+00:00,A,N,W,40.8414185,-96.7404622,6,3,35,26,4,26
20260426000323_000142F.MP4,11,2026-04-26T06:03:35+00:00,A,N,W,40.8414185,-96.7404622,6,3,35,26,4,26
20260426000323_000142F.MP4,12,2026-04-26T06:03:37+00:00,A,N,W,40.8414225,-96.7404622,6,3,37,26,4,26
20260426000323_000142F.MP4,13,2026-04-26T06:03:38+00:00,A,N,W,40.8414225,-96.7404622,6,3,38,26,4,26
20260426000323_000142F.MP4,14,2026-04-26T06:03:38+00:00,A,N,W,40.8414225,-96.7404622,6,3,38,26,4,26
20260426000323_000142F.MP4,15,2026-04-26T06:03:40+00:00,A,N,W,40.8414185,-96.7404622,6,3,40,26,4,26
20260426000323_000142F.MP4,16,2026-04-26T06:03:40+00:00,A,N,W,40.8414185,-96.7404622,6,3,40,26,4,26
20260426000323_000142F.MP4,17,2026-04-26T06:03:42+00:00,A,N,W,40.8414144,-96.7404622,6,3,42,26,4,26
20260426000323_000142F.MP4,18,2026-04-26T06:03:42+00:00,A,N,W,40.8414144,-96.7404622,6,3,42,26,4,26
20260426000323_000142F.MP4,19,2026-04-26T06:03:43+00:00,A,N,W,40.8414144,-96.7404622,6,3,43,26,4,26
20260426000323_000142F.MP4,20,2026-04-26T06:03:45+00:00,A,N,W,40.8414144,-96.7404622,6,3,45,26,4,26
20260426000323_000142F.MP4,21,2026-04-26T06:03:46+00:00,A,N,W,40.8414185,-96.7404622,6,3,46,26,4,26
20260426000323_000142F.MP4,22,2026-04-26T06:03:46+00:00,A,N,W,40.8414185,-96.7404622,6,3,46,26,4,26
20260426000323_000142F.MP4,23,2026-04-26T06:03:47+00:00,A,N,W,40.8414185,-96.7404622,6,3,47,26,4,26
20260426000323_000142F.MP4,24,2026-04-26T06:03:48+00:00,A,N,W,40.8414185,-96.7404622,6,3,48,26,4,26
20260426000323_000142F.MP4,25,2026-04-26T06:03:49+00:00,A,N,W,40.8414185,-96.7404622,6,3,49,26,4,26
20260426000323_000142F.MP4,26,2026-04-26T06:03:50+00:00,A,N,W,40.8414185,-96.7404622,6,3,50,26,4,26
20260426000323_000142F.MP4,27,2026-04-26T06:03:51+00:00,A,N,W,40.8414225,-96.7404622,6,3,51,26,4,26
20260426000323_000142F.MP4,28,2026-04-26T06:03:53+00:00,A,N,W,40.8414225,-96.7404622,6,3,53,26,4,26
20260426000323_000142F.MP4,29,2026-04-26T06:03:53+00:00,A,N,W,40.8414225,-96.7404622,6,3,53,26,4,26
20260426000323_000142F.MP4,30,2026-04-26T06:03:54+00:00,A,N,W,40.8414225,-96.7404622,6,3,54,26,4,26
20260426000323_000142F.MP4,31,2026-04-26T06:03:56+00:00,A,N,W,40.8414225,-96.7404785,6,3,56,26,4,26
20260426000323_000142F.MP4,32,2026-04-26T06:03:56+00:00,A,N,W,40.8414225,-96.7404785,6,3,56,26,4,26
20260426000323_000142F.MP4,33,2026-04-26T06:03:57+00:00,A,N,W,40.8414225,-96.7404785,6,3,57,26,4,26
20260426000323_000142F.MP4,34,2026-04-26T06:03:59+00:00,A,N,W,40.8414225,-96.7404785,6,3,59,26,4,26
20260426000323_000142F.MP4,35,2026-04-26T06:03:59+00:00,A,N,W,40.8414225,-96.7404785,6,3,59,26,4,26
20260426000323_000142F.MP4,36,2026-04-26T06:04:00+00:00,A,N,W,40.8414185,-96.7404785,6,4,0,26,4,26
20260426000323_000142F.MP4,37,2026-04-26T06:04:01+00:00,A,N,W,40.8414185,-96.7404785,6,4,1,26,4,26
20260426000323_000142F.MP4,38,2026-04-26T06:04:02+00:00,A,N,W,40.8414185,-96.7404785,6,4,2,26,4,26
