"timeSec","speedMps","rpm","throttlePct","yellowWire","greenWire","obdConnected","arduinoConnected"
-108.38700003624,0,748,15.7,0,1,1,1
-108.286999893188,0,744,15.7,0,0,1,1
-108.186999988556,0,742,15.7,0,0,1,1
-108.085999917984,0,744,15.7,0,0,1,1
-107.986000013351,0,746,16.1,0,0,1,1
-107.88499994278,0,748,15.7,0,0,1,1
-107.785000038147,0,743,15.7,0,0,1,1
-107.683999967575,0,732,15.7,0,0,1,1
-107.584000062943,0,734,15.7,0,0,1,1
-107.482999992371,0,744,15.7,0,0,1,1
-107.383000087738,0,780,15.7,1,0,1,1
-107.282999944687,0,786,15.7,1,0,1,1
-107.182000112534,0,800,15.7,1,0,1,1
-107.081999969482,0,804,15.7,0,0,1,1
-106.980999898911,0,815,15.7,0,0,1,1
-106.880999994278,0,820,15.7,0,0,1,1
-106.779999923706,0,817,15.7,0,0,1,1
-106.680000019073,0,816,15.7,1,0,1,1
-106.580000114441,0,815,15.7,1,0,1,1
-106.479000043869,0,813,15.7,1,0,1,1
-106.378999900818,0,806,15.7,0,0,1,1
-106.278999996185,0,814,15.7,0,0,1,1
-106.177999925613,0,809,15.7,0,0,1,1
-106.078000020981,0,812,15.7,0,0,1,1
-105.976999950409,0,810,15.7,0,0,1,1
-105.877000045776,0,809,15.7,0,0,1,1
-105.775999975204,0,815,15.7,0,0,1,1
-105.676000070572,0,813,15.7,0,0,1,1
-105.575,0,816,15.7,0,0,1,1
-105.473999929428,0,816,15.7,0,0,1,1
-105.374000024796,0,812,15.7,0,0,1,1
-105.272999954224,0,810,15.7,0,0,1,1
-105.173000049591,0,808,15.7,0,0,1,1
-105.071999979019,0,805,15.7,0,0,1,1
-104.972000074387,0,815,15.7,0,0,1,1
-104.871999931335,0,813,15.7,0,0,1,1
-104.771000099182,0,808,15.7,0,0,1,1
-104.670999956131,0,804,15.7,0,0,1,1
-104.569999885559,0,804,15.7,0,0,1,1
-104.469999980927,0,808,15.7,0,0,1,1
-104.370000076294,0,802,15.3,0,0,1,1
-104.269000005722,0,798,15.3,0,0,1,1
-104.169000101089,0,798,15.3,0,0,1,1
-104.068000030518,0,795,15.3,0,0,1,1
-103.967999887466,0,802,15.3,1,1,1,1
-103.867000055313,0,800,15.3,1,1,1,1
-103.765999984741,0,794,15.3,1,1,1,1
-103.666000080109,0,786,15.3,1,1,1,1
-103.565000009537,0,784,15.3,0,0,1,1
-103.465000104904,0,786,15.3,0,0,1,1
-103.364999961853,0,784,15.3,0,0,1,1
-103.263999891281,0,786,15.3,0,0,1,1
-103.163999986649,0,775,15.3,0,0,1,1
-103.062999916077,0,780,15.3,0,0,1,1
-102.963000011444,0,779,15.3,0,0,1,1
-102.863000106812,0,772,15.3,0,0,1,1
-102.76200003624,0,773,15.3,0,0,1,1
-102.661999893188,0,778,15.3,0,0,1,1
-102.561000061035,0,780,15.3,0,0,1,1
-102.460999917984,0,774,15.3,0,0,1,1
-102.360000085831,0,768,15.3,0,0,1,1
-102.25999994278,0,769,16.1,0,0,1,1
-102.160000038147,0,762,16.1,0,0,1,1
-102.058999967575,0,762,16.1,0,0,1,1
-101.959000062943,0,772,16.1,0,0,1,1
-101.857999992371,0,794,16.1,0,0,1,1
-101.758000087738,0,809,16.1,0,0,1,1
-101.657000017166,0,820,16.1,0,0,1,1
-101.557000112534,0,835,16.1,0,0,1,1
-101.456000041962,0,834,16.1,0,0,1,1
-101.355999898911,0,813,16.1,0,0,1,1
-101.255999994278,0,808,16.1,0,0,1,1
-101.154999923706,0,808,16.1,0,0,1,1
-101.055000019073,0,802,16.1,0,0,1,1
-100.953999948502,0,800,16.1,0,0,1,1
-100.854000043869,0,801,16.1,0,0,1,1
-100.753999900818,0,796,16.1,0,0,1,1
-100.653000068665,0,800,16.1,0,0,1,1
-100.552999925613,0,802,16.1,0,0,1,1
-100.45200009346,0,803,16.1,0,0,1,1
-100.351999950409,0,802,16.1,0,0,1,1
-100.252000045776,0,806,16.1,0,0,1,1
-100.150999975204,0,804,16.1,0,0,1,1
-100.051000070572,0,802,16.1,0,0,1,1
-99.95,0,799,16.1,0,0,1,1
-99.8500000953674,0,797,16.1,0,0,1,1
-99.7499999523163,0,801,16.1,0,0,1,1
-99.6489998817444,0,800,16.1,0,0,1,1
-99.5489999771118,0,799,16.1,0,0,1,1
-99.4479999065399,0,799,16.1,0,0,1,1
-99.3480000019074,0,796,16.1,0,0,1,1
-99.2469999313355,0,801,16.1,0,0,1,1
-99.1470000267029,0,799,16.1,0,0,1,1
-99.045999956131,0,802,16.1,0,0,1,1
-98.9460000514984,0,810,16.1,0,0,1,1
-98.8459999084473,0,810,16.1,0,0,1,1
-98.7450000762939,0,812,16.1,0,0,1,1
-98.6449999332428,0,806,16.1,0,0,1,1
-98.5440001010895,0,801,16.1,0,0,1,1
-98.4439999580383,0,801,16.1,0,0,1,1
-98.3429998874664,0,798,16.1,0,0,1,1
-98.2429999828339,0,796,16.1,0,0,1,1
-98.1430000782013,0,793,16.1,0,0,1,1
-98.0420000076294,0,790,16.1,0,0,1,1
-97.9420001029968,0,789,16.1,0,0,1,1
-97.8410000324249,0,784,16.1,0,0,1,1
-97.7409998893738,0,784,16.1,0,0,1,1
-97.6409999847412,0,777,16.1,0,0,1,1
-97.5399999141693,0,779,16.1,0,0,1,1
-97.4400000095367,0,772,16.1,0,0,1,1
-97.3389999389648,0,770,16.1,0,0,1,1
-97.2390000343323,0,774,16.1,0,0,1,1
-97.1389998912811,0,770,16.1,0,0,1,1
-97.0380000591278,0,772,16.1,0,0,1,1
-96.9379999160767,0,778,16.1,0,0,1,1
-96.8370000839233,0,776,16.1,0,0,1,1
-96.7369999408722,0,776,16.1,0,0,1,1
-96.6370000362396,0,780,16.1,0,0,1,1
-96.5359999656677,0,781,16.1,0,0,1,1
-96.4360000610352,0,780,16.1,0,0,1,1
-96.3349999904633,0,781,16.1,0,0,1,1
-96.2339999198914,0,777,16.1,0,0,1,1
-96.1340000152588,0,776,16.1,0,0,1,1
-96.0340001106262,0,777,16.1,0,0,1,1
-95.9330000400543,0,780,16.1,0,0,1,1
-95.8329998970032,0,776,16.1,0,0,1,1
-95.7320000648499,0,779,16.1,0,0,1,1
-95.6319999217987,0,773,16.1,0,0,1,1
-95.5320000171661,0,772,16.1,0,0,1,1
-95.4309999465942,0,777,16.1,0,0,1,1
-95.3310000419617,0,776,16.1,0,0,1,1
-95.2299999713898,0,775,16.1,0,0,1,1
-95.1300000667572,0,772,16.1,0,0,1,1
-95.0299999237061,0,760,16.1,0,0,1,1
-94.9290000915527,0,764,16.1,0,0,1,1
-94.8289999485016,0,762,16.1,0,0,1,1
-94.7280001163483,0,762,16.1,0,0,1,1
-94.6279999732971,0,757,16.1,0,0,1,1
-94.5280000686646,0,757,16.1,0,0,1,1
-94.4269999980927,0,757,16.1,0,0,1,1
-94.3270000934601,0,760,16.1,0,0,1,1
-94.2260000228882,0,759,16.1,0,0,1,1
-94.1260001182556,0,759,16.1,0,0,1,1
-94.0259999752045,0,758,16.1,0,0,1,1
