"timeSec","segment","latitude","longitude"
4.4,1,40.8111465928225,-96.6894027963281
4.5,1,40.8111465928225,-96.6894027963281
4.6,1,40.8111465928225,-96.6894027963281
4.7,1,40.8111465928225,-96.6894027963281
4.8,1,40.8111465928225,-96.6894027963281
4.9,1,40.8111465928225,-96.6894027963281
5,1,40.8111465928225,-96.6894027963281
5.1,1,40.8111465928225,-96.6894027963281
5.2,1,40.8111465928225,-96.6894027963281
5.3,1,40.8111465928225,-96.6894027963281
5.4,1,40.8111465928225,-96.6894027963281
5.5,1,40.8111465928225,-96.6894027963281
5.6,1,40.8111465928225,-96.6894027963281
5.7,1,40.8111465928225,-96.6894027963281
5.8,1,40.8111465928225,-96.6894027963281
5.9,1,40.8111465928225,-96.6894027963281
6,1,40.8111465928225,-96.6894027963281
6.1,1,40.8111465928225,-96.6894027963281
6.2,1,40.8111465928225,-96.6894027963281
6.3,1,40.8111465928225,-96.6894027963281
6.4,1,40.8111465928225,-96.6894027963281
6.5,1,40.8111465928225,-96.6894027963281
6.6,1,40.8111465928225,-96.6894027963281
6.7,1,40.8111465928225,-96.6894027963281
6.8,1,40.8111465928225,-96.6894027963281
6.9,1,40.8111465928225,-96.6894027963281
7,1,40.8111465928225,-96.6894027963281
7.1,1,40.8111465928225,-96.6894027963281
7.2,1,40.8111465928225,-96.6894027963281
7.3,1,40.8111465928225,-96.6894027963281
7.4,1,40.8111465928225,-96.6894027963281
7.5,1,40.8111465928225,-96.6894027963281
7.6,1,40.8111465928225,-96.6894027963281
7.7,1,40.8111465928225,-96.6894027963281
7.8,1,40.8111465928225,-96.6894027963281
7.9,1,40.8111465928225,-96.6894027963281
8,1,40.8111465928225,-96.6894027963281
8.1,1,40.8111465928225,-96.6894027963281
8.2,1,40.8111465928225,-96.6894027963281
8.3,1,40.8111465928225,-96.6894027963281
8.4,1,40.8111465928225,-96.6894027963281
8.5,1,40.8111465928225,-96.6894027963281
8.6,1,40.8111465928225,-96.6894027963281
8.7,1,40.8111465928225,-96.6894027963281
8.8,1,40.8111465928225,-96.6894027963281
8.9,1,40.8111465928225,-96.6894027963281
9,1,40.8111465928225,-96.6894027963281
9.1,1,40.8111465928225,-96.6894027963281
9.2,1,40.8111465928225,-96.6894027963281
9.3,1,40.8111465928225,-96.6894027963281
9.4,1,40.8111465928225,-96.6894027963281
9.5,1,40.8111465928225,-96.6894027963281
9.6,1,40.8111465928225,-96.6894027963281
9.7,1,40.8111465928225,-96.6894027963281
9.8,1,40.8111465928225,-96.6894027963281
9.9,1,40.8111465928225,-96.6894027963281
10,1,40.8111465928225,-96.6894027963281
10.1,1,40.8111465928225,-96.6894027963281
10.2,1,40.8111465928225,-96.6894027963281
10.3,1,40.8111465928225,-96.6894027963281
10.4,1,40.8111465928225,-96.6894027963281
10.5,1,40.8111465928225,-96.6894027963281
